City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kandla,23.0333,70.2167,75.06,27,97,7.38,IN,1699838288
84,bokhan,53.153,103.7714,6.3,98,75,2.21,RU,1699838289
85,wailua homesteads,22.0669,-159.378,82.83,79,40,19.57,US,1699838289
86,miri,4.4148,114.0089,82.54,83,40,6.91,MY,1699838289
87,puerto ayora,-0.7393,-90.3518,76.55,91,54,5.01,EC,1699838289
88,edinburgh of the seven seas,-37.0676,-12.3116,57.47,83,8,22.12,SH,1699838289
89,afaahiti,-17.75,-149.2833,84.07,80,58,10.31,PF,1699838289
90,manadhoo,5.7667,73.3833,82.31,74,87,4.41,MV,1699838290
91,kloulklubed,7.0419,134.2556,79.3,75,100,13.69,PW,1699838290
92,holland,42.7875,-86.1089,51.85,55,75,10.36,US,1699838290
93,igarka,67.4667,86.5833,28.69,97,100,11.59,RU,1699838290
94,carrigaline,51.8117,-8.3986,55.15,100,100,23.02,IE,1699838290
95,bredasdorp,-34.5322,20.0403,55.18,88,39,0.6,ZA,1699838152
96,purwakarta,-6.5569,107.4433,80.38,70,42,0.74,ID,1699838291
97,nemuro,43.3236,145.575,40.68,50,33,10.31,JP,1699838291
98,matoury,4.8483,-52.3317,80.1,84,3,8.59,GF,1699838291
99,spring creek,40.7266,-115.5859,50.31,26,100,4.14,US,1699838291
100,isola di capo rizzuto,38.96,17.0933,62.19,72,0,10.96,IT,1699838291
101,noumea,-22.2763,166.4572,80.58,58,57,19.86,NC,1699838010
102,harstad,68.799,16.5293,29.16,57,2,11.01,NO,1699838292
103,dudinka,69.4058,86.1778,30.67,98,100,17.0,RU,1699838141
104,nizhneangarsk,55.7833,109.55,19.99,76,100,1.01,RU,1699838292
105,al ghayzah,16.2079,52.176,78.46,72,0,1.81,YE,1699838292
106,alice springs,-23.7,133.8833,92.75,27,85,10.36,AU,1699838145
107,masina,-4.3836,15.3914,71.8,97,100,1.01,CD,1699838293
108,ilulissat,69.2167,-51.1,10.42,61,28,0.0,GL,1699838293
109,west island,-12.1568,96.8225,80.58,83,75,11.5,CC,1699838140
110,carnarvon,-24.8667,113.6333,72.73,70,30,9.1,AU,1699838293
111,arkhipo-osipovka,44.37,38.52,58.64,76,100,9.31,RU,1699838293
112,ontario,34.0633,-117.6509,76.73,23,75,9.22,US,1699838080
113,kapoeta,4.7717,33.5903,81.39,53,30,12.01,SS,1699838294
114,longyearbyen,78.2186,15.6401,22.84,80,75,21.85,SJ,1699838294
115,severo-yeniseyskiy,60.3725,93.0408,24.58,98,100,1.99,RU,1699838294
116,atafu village,-8.5421,-172.5159,84.42,69,30,1.79,TK,1699838294
117,brooks,50.5834,-111.8851,36.03,63,100,3.44,CA,1699838294
118,la ronge,55.1001,-105.2842,32.25,74,0,4.61,CA,1699838295
119,tonghae,37.5439,129.1069,42.12,29,0,6.06,KR,1699838295
120,sawankhalok,17.316,99.8319,80.49,89,0,3.44,TH,1699838295
121,lethem,3.3803,-59.7968,83.1,58,8,6.78,GY,1699838295
122,misratah,32.3754,15.0925,70.36,60,0,8.93,LY,1699838295
123,tolanaro,-25.0319,46.9987,66.06,81,0,8.88,MG,1699838296
124,codrington,-38.2667,141.9667,61.27,51,5,12.5,AU,1699838296
125,parras de la fuente,25.4167,-102.1833,52.25,89,100,7.47,MX,1699838296
126,san sebastian de la gomera,28.0916,-17.1133,78.17,43,0,0.0,ES,1699838296
127,sinabang,2.4803,96.3801,80.49,82,100,4.03,ID,1699838296
128,tacoronte,28.4769,-16.4102,71.35,61,0,3.44,ES,1699838297
129,bel ombre,-4.6167,55.4167,80.44,83,20,3.44,SC,1699838297
130,isafjordur,66.0755,-23.124,35.11,83,100,4.16,IS,1699838297
131,inirida,3.8653,-67.9239,76.98,92,100,3.02,CO,1699838297
132,iwanai,42.9744,140.5089,37.17,73,99,12.93,JP,1699838297
133,boa vista,2.8197,-60.6733,85.98,58,0,9.22,BR,1699838190
134,ola,59.5833,151.2833,12.15,63,100,12.33,RU,1699838298
135,georgetown,5.4112,100.3354,85.95,79,20,3.44,MY,1699838110
136,enewetak,11.3474,162.3373,80.24,87,100,16.6,MH,1699838298
137,demopolis,32.5176,-87.8364,58.95,94,100,0.0,US,1699838298
138,port elizabeth,-33.918,25.5701,59.29,78,0,10.36,ZA,1699838298
139,hawaiian paradise park,19.5933,-154.9731,80.11,89,75,5.75,US,1699838299
140,sitka,57.0531,-135.33,40.89,75,0,3.44,US,1699838299
141,masterton,-40.9597,175.6575,61.88,58,12,15.46,NZ,1699838299
142,mar del plata,-38.0023,-57.5575,53.87,69,0,5.01,AR,1699838255
143,martapura,-3.4167,114.85,82.49,78,40,5.75,ID,1699838299
144,mahina,-17.5065,-149.489,85.77,70,75,10.36,PF,1699838299
145,port hedland,-20.3167,118.5667,86.05,48,3,9.22,AU,1699838300
146,phalaborwa,-23.943,31.1411,67.28,77,100,12.21,ZA,1699838300
147,penig,50.9333,12.7167,42.3,82,100,5.75,DE,1699838300
148,pitesti,44.85,24.8667,36.68,55,5,4.7,RO,1699838109
149,leer,53.2316,7.461,41.94,96,61,6.26,DE,1699838300
150,caldelas,41.671,-8.3815,64.06,97,100,6.33,PT,1699838300
